Escenario,NumClientes,Cliente,Operacion,Tiempo(ms)
Secuencial,1,1,verificacion,0,1908
Secuencial,1,1,cifrado,0,1031
Secuencial,1,1,descifrado_direccion,0,1230
Secuencial,1,1,hmac_solicitud,0,0491
Secuencial,1,1,hmac_direccion,0,0510
Secuencial,1,1,hmac,0,0625
Secuencial,1,1,descifrado,0,1518
Secuencial,1,1,generacion_iv,0,1148
Secuencial,1,2,verificacion,0,0800
Secuencial,1,2,cifrado,0,0873
Secuencial,1,2,descifrado_direccion,0,0974
Secuencial,1,2,hmac_solicitud,0,0384
Secuencial,1,2,hmac_direccion,0,0457
Secuencial,1,2,hmac,0,0440
Secuencial,1,2,descifrado,0,1119
Secuencial,1,2,generacion_iv,0,0997
Secuencial,1,3,verificacion,0,1298
Secuencial,1,3,cifrado,0,0985
Secuencial,1,3,descifrado_direccion,0,0959
Secuencial,1,3,hmac_solicitud,0,1014
Secuencial,1,3,hmac_direccion,0,0453
Secuencial,1,3,hmac,0,0944
Secuencial,1,3,descifrado,0,0983
Secuencial,1,3,generacion_iv,0,1508
Secuencial,1,4,verificacion,0,0762
Secuencial,1,4,cifrado,0,0799
Secuencial,1,4,descifrado_direccion,0,0905
Secuencial,1,4,hmac_solicitud,0,0382
Secuencial,1,4,hmac_direccion,0,0429
Secuencial,1,4,hmac,0,0416
Secuencial,1,4,descifrado,0,1631
Secuencial,1,4,generacion_iv,0,0767
Secuencial,1,5,verificacion,0,1503
Secuencial,1,5,cifrado,0,0940
Secuencial,1,5,descifrado_direccion,0,1329
Secuencial,1,5,hmac_solicitud,0,0632
Secuencial,1,5,hmac_direccion,0,0313
Secuencial,1,5,hmac,0,0705
Secuencial,1,5,descifrado,0,3164
Secuencial,1,5,generacion_iv,0,0825
Secuencial,1,6,verificacion,0,0816
Secuencial,1,6,cifrado,0,1112
Secuencial,1,6,descifrado_direccion,0,0809
Secuencial,1,6,hmac_solicitud,0,0385
Secuencial,1,6,hmac_direccion,0,0287
Secuencial,1,6,hmac,0,0474
Secuencial,1,6,descifrado,0,1920
Secuencial,1,6,generacion_iv,0,1283
Secuencial,1,7,verificacion,0,1130
Secuencial,1,7,cifrado,0,0783
Secuencial,1,7,descifrado_direccion,0,0800
Secuencial,1,7,hmac_solicitud,0,0294
Secuencial,1,7,hmac_direccion,0,0269
Secuencial,1,7,hmac,0,0312
Secuencial,1,7,descifrado,0,1448
Secuencial,1,7,generacion_iv,0,0857
Secuencial,1,8,verificacion,0,0834
Secuencial,1,8,cifrado,0,1013
Secuencial,1,8,descifrado_direccion,0,0723
Secuencial,1,8,hmac_solicitud,0,0436
Secuencial,1,8,hmac_direccion,0,0305
Secuencial,1,8,hmac,0,0284
Secuencial,1,8,descifrado,0,1000
Secuencial,1,8,generacion_iv,0,0841
Secuencial,1,9,verificacion,0,0694
Secuencial,1,9,cifrado,0,1320
Secuencial,1,9,descifrado_direccion,0,1179
Secuencial,1,9,hmac_solicitud,0,0386
Secuencial,1,9,hmac_direccion,0,0298
Secuencial,1,9,hmac,0,0591
Secuencial,1,9,descifrado,0,1442
Secuencial,1,9,generacion_iv,0,0745
Secuencial,1,10,verificacion,0,0626
Secuencial,1,10,cifrado,0,0736
Secuencial,1,10,descifrado_direccion,0,0736
Secuencial,1,10,hmac_solicitud,0,0254
Secuencial,1,10,hmac_direccion,0,0266
Secuencial,1,10,hmac,0,0371
Secuencial,1,10,descifrado,0,0906
Secuencial,1,10,generacion_iv,0,0701
Secuencial,1,11,verificacion,0,0758
Secuencial,1,11,cifrado,0,1090
Secuencial,1,11,descifrado_direccion,0,0706
Secuencial,1,11,hmac_solicitud,0,0292
Secuencial,1,11,hmac_direccion,0,0268
Secuencial,1,11,hmac,0,0279
Secuencial,1,11,descifrado,0,1569
Secuencial,1,11,generacion_iv,0,0852
Secuencial,1,12,verificacion,0,0753
Secuencial,1,12,cifrado,0,0844
Secuencial,1,12,descifrado_direccion,0,0876
Secuencial,1,12,hmac_solicitud,0,0428
Secuencial,1,12,hmac_direccion,0,0674
Secuencial,1,12,hmac,0,4430
Secuencial,1,12,descifrado,0,1650
Secuencial,1,12,generacion_iv,0,1434
Secuencial,1,13,verificacion,0,1091
Secuencial,1,13,cifrado,0,1007
Secuencial,1,13,descifrado_direccion,0,1262
Secuencial,1,13,hmac_solicitud,0,0330
Secuencial,1,13,hmac_direccion,0,0284
Secuencial,1,13,hmac,0,0297
Secuencial,1,13,descifrado,0,1079
Secuencial,1,13,generacion_iv,0,0764
Secuencial,1,14,verificacion,0,0647
Secuencial,1,14,cifrado,0,0758
Secuencial,1,14,descifrado_direccion,0,0819
Secuencial,1,14,hmac_solicitud,0,0262
Secuencial,1,14,hmac_direccion,0,0314
Secuencial,1,14,hmac,0,0350
Secuencial,1,14,descifrado,0,1048
Secuencial,1,14,generacion_iv,0,0647
Secuencial,1,15,verificacion,0,1090
Secuencial,1,15,cifrado,0,0932
Secuencial,1,15,descifrado_direccion,0,1378
Secuencial,1,15,hmac_solicitud,0,0367
Secuencial,1,15,hmac_direccion,0,1006
Secuencial,1,15,hmac,0,0269
Secuencial,1,15,descifrado,0,1016
Secuencial,1,15,generacion_iv,0,0887
Secuencial,1,16,verificacion,0,0852
Secuencial,1,16,cifrado,0,0678
Secuencial,1,16,descifrado_direccion,0,0914
Secuencial,1,16,hmac_solicitud,0,0280
Secuencial,1,16,hmac_direccion,0,0318
Secuencial,1,16,hmac,0,0257
Secuencial,1,16,descifrado,0,1434
Secuencial,1,16,generacion_iv,0,0729
Secuencial,1,17,verificacion,0,1357
Secuencial,1,17,cifrado,0,0682
Secuencial,1,17,descifrado_direccion,0,3277
Secuencial,1,17,hmac_solicitud,0,0367
Secuencial,1,17,hmac_direccion,0,0275
Secuencial,1,17,hmac,0,0351
Secuencial,1,17,descifrado,0,1253
Secuencial,1,17,generacion_iv,0,0673
Secuencial,1,18,verificacion,0,0763
Secuencial,1,18,cifrado,0,0593
Secuencial,1,18,descifrado_direccion,0,0607
Secuencial,1,18,hmac_solicitud,0,0223
Secuencial,1,18,hmac_direccion,0,0226
Secuencial,1,18,hmac,0,0270
Secuencial,1,18,descifrado,0,0894
Secuencial,1,18,generacion_iv,0,0703
Secuencial,1,19,verificacion,0,1051
Secuencial,1,19,cifrado,0,1078
Secuencial,1,19,descifrado_direccion,0,0875
Secuencial,1,19,hmac_solicitud,0,0424
Secuencial,1,19,hmac_direccion,0,0325
Secuencial,1,19,hmac,0,0281
Secuencial,1,19,descifrado,0,0964
Secuencial,1,19,generacion_iv,0,1074
Secuencial,1,20,verificacion,0,1149
Secuencial,1,20,cifrado,0,0749
Secuencial,1,20,descifrado_direccion,0,0647
Secuencial,1,20,hmac_solicitud,0,0457
Secuencial,1,20,hmac_direccion,0,0244
Secuencial,1,20,hmac,0,0376
Secuencial,1,20,descifrado,0,0977
Secuencial,1,20,generacion_iv,0,0785
Secuencial,1,21,verificacion,0,1092
Secuencial,1,21,cifrado,0,1523
Secuencial,1,21,descifrado_direccion,0,0848
Secuencial,1,21,hmac_solicitud,0,0552
Secuencial,1,21,hmac_direccion,0,0341
Secuencial,1,21,hmac,0,0294
Secuencial,1,21,descifrado,0,1083
Secuencial,1,21,generacion_iv,0,3349
Secuencial,1,22,verificacion,0,1390
Secuencial,1,22,cifrado,0,1137
Secuencial,1,22,descifrado_direccion,0,2011
Secuencial,1,22,hmac_solicitud,0,0342
Secuencial,1,22,hmac_direccion,0,0240
Secuencial,1,22,hmac,0,4071
Secuencial,1,22,descifrado,0,1520
Secuencial,1,22,generacion_iv,0,1245
Secuencial,1,23,verificacion,0,1537
Secuencial,1,23,cifrado,0,0659
Secuencial,1,23,descifrado_direccion,0,1255
Secuencial,1,23,hmac_solicitud,0,0302
Secuencial,1,23,hmac_direccion,0,0361
Secuencial,1,23,hmac,0,0226
Secuencial,1,23,descifrado,0,0678
Secuencial,1,23,generacion_iv,0,1107
Secuencial,1,24,verificacion,0,0569
Secuencial,1,24,cifrado,0,0593
Secuencial,1,24,descifrado_direccion,0,0644
Secuencial,1,24,hmac_solicitud,0,0263
Secuencial,1,24,hmac_direccion,0,0449
Secuencial,1,24,hmac,0,0248
Secuencial,1,24,descifrado,0,1267
Secuencial,1,24,generacion_iv,0,0724
Secuencial,1,25,verificacion,0,1002
Secuencial,1,25,cifrado,0,0595
Secuencial,1,25,descifrado_direccion,0,0635
Secuencial,1,25,hmac_solicitud,0,0308
Secuencial,1,25,hmac_direccion,0,0164
Secuencial,1,25,hmac,0,0240
Secuencial,1,25,descifrado,0,0717
Secuencial,1,25,generacion_iv,0,0658
Secuencial,1,26,verificacion,0,0656
Secuencial,1,26,cifrado,0,0536
Secuencial,1,26,descifrado_direccion,0,0556
Secuencial,1,26,hmac_solicitud,0,0211
Secuencial,1,26,hmac_direccion,0,0185
Secuencial,1,26,hmac,0,0973
Secuencial,1,26,descifrado,0,1780
Secuencial,1,26,generacion_iv,0,0583
Secuencial,1,27,verificacion,0,1396
Secuencial,1,27,cifrado,0,0949
Secuencial,1,27,descifrado_direccion,0,1190
Secuencial,1,27,hmac_solicitud,0,0359
Secuencial,1,27,hmac_direccion,0,0203
Secuencial,1,27,hmac,0,0311
Secuencial,1,27,descifrado,0,0868
Secuencial,1,27,generacion_iv,0,1033
Secuencial,1,28,verificacion,0,1008
Secuencial,1,28,cifrado,0,0742
Secuencial,1,28,descifrado_direccion,0,0497
Secuencial,1,28,hmac_solicitud,0,0428
Secuencial,1,28,hmac_direccion,0,0199
Secuencial,1,28,hmac,0,0506
Secuencial,1,28,descifrado,0,1193
Secuencial,1,28,generacion_iv,0,0794
Secuencial,1,29,verificacion,0,0608
Secuencial,1,29,cifrado,0,0592
Secuencial,1,29,descifrado_direccion,0,0523
Secuencial,1,29,hmac_solicitud,0,0182
Secuencial,1,29,hmac_direccion,0,0195
Secuencial,1,29,hmac,0,0195
Secuencial,1,29,descifrado,0,0669
Secuencial,1,29,generacion_iv,0,0723
Secuencial,1,30,verificacion,0,1013
Secuencial,1,30,cifrado,0,0428
Secuencial,1,30,descifrado_direccion,0,0555
Secuencial,1,30,hmac_solicitud,0,0177
Secuencial,1,30,hmac_direccion,0,0203
Secuencial,1,30,hmac,0,0200
Secuencial,1,30,descifrado,0,0812
Secuencial,1,30,generacion_iv,0,0621
Secuencial,1,31,verificacion,0,0971
Secuencial,1,31,cifrado,0,0657
Secuencial,1,31,descifrado_direccion,0,0480
Secuencial,1,31,hmac_solicitud,0,0179
Secuencial,1,31,hmac_direccion,0,0403
Secuencial,1,31,hmac,0,0206
Secuencial,1,31,descifrado,0,0835
Secuencial,1,31,generacion_iv,0,0829
Secuencial,1,32,verificacion,0,1207
Secuencial,1,32,cifrado,0,0507
Secuencial,1,32,descifrado_direccion,0,1092
Secuencial,1,32,hmac_solicitud,0,0230
Secuencial,1,32,hmac_direccion,0,0209
Secuencial,1,32,hmac,0,0190
Secuencial,1,32,descifrado,0,0649
Secuencial,1,32,generacion_iv,0,1075
Concurrente,4,2,verificacion,0,0596
Concurrente,4,2,cifrado,0,0668
Concurrente,4,2,descifrado_direccion,0,0563
Concurrente,4,2,hmac_solicitud,0,0260
Concurrente,4,2,hmac_direccion,0,0171
Concurrente,4,2,hmac,0,0264
Concurrente,4,2,descifrado,0,0611
Concurrente,4,2,generacion_iv,0,0876
Concurrente,4,1,verificacion,0,1033
Concurrente,4,1,cifrado,0,0850
Concurrente,4,1,descifrado_direccion,0,0542
Concurrente,4,1,hmac_solicitud,0,0324
Concurrente,4,1,hmac_direccion,0,0178
Concurrente,4,1,hmac,0,0287
Concurrente,4,1,descifrado,0,1087
Concurrente,4,1,generacion_iv,0,0890
Concurrente,4,3,verificacion,0,0580
Concurrente,4,3,cifrado,0,0571
Concurrente,4,3,descifrado_direccion,0,0558
Concurrente,4,3,hmac_solicitud,0,0268
Concurrente,4,3,hmac_direccion,0,0238
Concurrente,4,3,hmac,0,0283
Concurrente,4,3,descifrado,0,0617
Concurrente,4,3,generacion_iv,0,0781
Concurrente,4,4,verificacion,0,0874
Concurrente,4,4,cifrado,0,0507
Concurrente,4,4,descifrado_direccion,0,0414
Concurrente,4,4,hmac_solicitud,0,0195
Concurrente,4,4,hmac_direccion,0,0164
Concurrente,4,4,hmac,0,0246
Concurrente,4,4,descifrado,0,0850
Concurrente,4,4,generacion_iv,0,0839
Concurrente,16,1,verificacion,0,0661
Concurrente,16,1,cifrado,0,0452
Concurrente,16,1,descifrado_direccion,0,0535
Concurrente,16,1,hmac_solicitud,0,0181
Concurrente,16,1,hmac_direccion,0,0195
Concurrente,16,1,hmac,0,0240
Concurrente,16,1,descifrado,0,0731
Concurrente,16,1,generacion_iv,0,0603
Concurrente,16,9,verificacion,0,0826
Concurrente,16,9,cifrado,0,0587
Concurrente,16,9,descifrado_direccion,0,0562
Concurrente,16,9,hmac_solicitud,0,0239
Concurrente,16,9,hmac_direccion,0,0204
Concurrente,16,9,hmac,0,0262
Concurrente,16,9,descifrado,0,0772
Concurrente,16,9,generacion_iv,0,0872
Concurrente,16,3,verificacion,0,0675
Concurrente,16,3,cifrado,0,0649
Concurrente,16,3,descifrado_direccion,0,0870
Concurrente,16,3,hmac_solicitud,0,0246
Concurrente,16,3,hmac_direccion,0,0287
Concurrente,16,3,hmac,0,0228
Concurrente,16,3,descifrado,0,0861
Concurrente,16,3,generacion_iv,0,0947
Concurrente,16,16,verificacion,0,0679
Concurrente,16,16,cifrado,0,0532
Concurrente,16,16,descifrado_direccion,0,0552
Concurrente,16,16,hmac_solicitud,0,0197
Concurrente,16,16,hmac_direccion,0,0188
Concurrente,16,16,hmac,0,0260
Concurrente,16,16,descifrado,0,0808
Concurrente,16,16,generacion_iv,0,0736
Concurrente,16,5,verificacion,0,0775
Concurrente,16,5,cifrado,0,0622
Concurrente,16,5,descifrado_direccion,0,0524
Concurrente,16,5,hmac_solicitud,0,0216
Concurrente,16,5,hmac_direccion,0,0201
Concurrente,16,5,hmac,0,0234
Concurrente,16,5,descifrado,0,1150
Concurrente,16,5,generacion_iv,0,0850
Concurrente,16,15,verificacion,0,0784
Concurrente,16,15,cifrado,0,0573
Concurrente,16,15,descifrado_direccion,0,0564
Concurrente,16,15,hmac_solicitud,0,0210
Concurrente,16,15,hmac_direccion,0,0212
Concurrente,16,15,hmac,0,0262
Concurrente,16,15,descifrado,0,0845
Concurrente,16,15,generacion_iv,0,1002
Concurrente,16,10,verificacion,0,0753
Concurrente,16,10,cifrado,0,0764
Concurrente,16,10,descifrado_direccion,0,0598
Concurrente,16,10,hmac_solicitud,0,0268
Concurrente,16,10,hmac_direccion,0,0238
Concurrente,16,10,hmac,0,0272
Concurrente,16,10,descifrado,0,0885
Concurrente,16,10,generacion_iv,0,0842
Concurrente,16,4,verificacion,0,0958
Concurrente,16,4,cifrado,0,0878
Concurrente,16,4,descifrado_direccion,0,0477
Concurrente,16,4,hmac_solicitud,0,0286
Concurrente,16,4,hmac_direccion,0,0230
Concurrente,16,4,hmac,0,0250
Concurrente,16,4,descifrado,0,1520
Concurrente,16,4,generacion_iv,0,1163
Concurrente,16,11,verificacion,0,0794
Concurrente,16,11,cifrado,0,0483
Concurrente,16,11,descifrado_direccion,0,0485
Concurrente,16,11,hmac_solicitud,0,0219
Concurrente,16,11,hmac_direccion,0,0205
Concurrente,16,11,hmac,0,0257
Concurrente,16,11,descifrado,0,0615
Concurrente,16,11,generacion_iv,0,0776
Concurrente,16,2,verificacion,0,0808
Concurrente,16,2,cifrado,0,0544
Concurrente,16,2,descifrado_direccion,0,0539
Concurrente,16,2,hmac_solicitud,0,0272
Concurrente,16,2,hmac_direccion,0,0253
Concurrente,16,7,verificacion,0,0694
Concurrente,16,2,hmac,0,0309
Concurrente,16,7,cifrado,0,0526
Concurrente,16,2,descifrado,0,0757
Concurrente,16,7,descifrado_direccion,0,0492
Concurrente,16,7,hmac_solicitud,0,0211
Concurrente,16,2,generacion_iv,0,0830
Concurrente,16,7,hmac_direccion,0,0211
Concurrente,16,7,hmac,0,0237
Concurrente,16,7,descifrado,0,0589
Concurrente,16,7,generacion_iv,0,0779
Concurrente,16,12,verificacion,0,0811
