Escenario,NumClientes,Cliente,Operacion,Tiempo(ms)
Secuencial,1,1,verificacion,0.5420
Secuencial,1,1,cifrado,0.2145
Secuencial,1,1,descifrado_direccion,0.2022
Secuencial,1,1,hmac_solicitud,0.1206
Secuencial,1,1,hmac_direccion,0.0650
Secuencial,1,1,hmac,0.0728
Secuencial,1,1,descifrado,0.2364
Secuencial,1,1,generacion_iv,0.2269
Secuencial,1,2,verificacion,0.1512
Secuencial,1,2,cifrado,0.2028
Secuencial,1,2,descifrado_direccion,0.2547
Secuencial,1,2,hmac_solicitud,0.0842
Secuencial,1,2,hmac_direccion,0.0828
Secuencial,1,2,hmac,0.1130
Secuencial,1,2,descifrado,0.1606
Secuencial,1,2,generacion_iv,0.1892
Secuencial,1,3,verificacion,0.2185
Secuencial,1,3,cifrado,0.2287
Secuencial,1,3,descifrado_direccion,0.2327
Secuencial,1,3,hmac_solicitud,0.0681
Secuencial,1,3,hmac_direccion,0.0859
Secuencial,1,3,hmac,0.0962
Secuencial,1,3,descifrado,0.3147
Secuencial,1,3,generacion_iv,0.1967
Secuencial,1,4,verificacion,0.1207
Secuencial,1,4,cifrado,0.1747
Secuencial,1,4,descifrado_direccion,0.3151
Secuencial,1,4,hmac_solicitud,0.0813
Secuencial,1,4,hmac_direccion,0.0669
Secuencial,1,4,hmac,0.1101
Secuencial,1,4,descifrado,0.2090
Secuencial,1,4,generacion_iv,0.1600
Secuencial,1,5,verificacion,0.1578
Secuencial,1,5,cifrado,0.2358
Secuencial,1,5,descifrado_direccion,0.1977
Secuencial,1,5,hmac_solicitud,0.0952
Secuencial,1,5,hmac_direccion,0.0701
Secuencial,1,5,hmac,0.1348
Secuencial,1,5,descifrado,0.2796
Secuencial,1,5,generacion_iv,0.2138
Secuencial,1,6,verificacion,0.1045
Secuencial,1,6,cifrado,0.1129
Secuencial,1,6,descifrado_direccion,0.1375
Secuencial,1,6,hmac_solicitud,0.0380
Secuencial,1,6,hmac_direccion,0.0449
Secuencial,1,6,hmac,0.0537
Secuencial,1,6,descifrado,0.1675
Secuencial,1,6,generacion_iv,0.0958
Secuencial,1,7,verificacion,0.0972
Secuencial,1,7,cifrado,0.1079
Secuencial,1,7,descifrado_direccion,0.1800
Secuencial,1,7,hmac_solicitud,0.0464
Secuencial,1,7,hmac_direccion,0.0575
Secuencial,1,7,hmac,0.0396
Secuencial,1,7,descifrado,0.1249
Secuencial,1,7,generacion_iv,0.1091
Secuencial,1,8,verificacion,0.1093
Secuencial,1,8,cifrado,0.1338
Secuencial,1,8,descifrado_direccion,0.1284
Secuencial,1,8,hmac_solicitud,0.0650
Secuencial,1,8,hmac_direccion,0.0448
Secuencial,1,8,hmac,0.0617
Secuencial,1,8,descifrado,0.1821
Secuencial,1,8,generacion_iv,0.1033
Secuencial,1,9,verificacion,0.1944
Secuencial,1,9,cifrado,0.2155
Secuencial,1,9,descifrado_direccion,0.1888
Secuencial,1,9,hmac_solicitud,0.0720
Secuencial,1,9,hmac_direccion,0.0624
Secuencial,1,9,hmac,0.1159
Secuencial,1,9,descifrado,0.2532
Secuencial,1,9,generacion_iv,0.1599
Secuencial,1,10,verificacion,0.0955
Secuencial,1,10,cifrado,0.1063
Secuencial,1,10,descifrado_direccion,0.1130
Secuencial,1,10,hmac_solicitud,0.0384
Secuencial,1,10,hmac_direccion,0.0331
Secuencial,1,10,hmac,0.0401
Secuencial,1,10,descifrado,0.1266
Secuencial,1,10,generacion_iv,0.1542
Secuencial,1,11,verificacion,0.0859
Secuencial,1,11,cifrado,0.1230
Secuencial,1,11,descifrado_direccion,0.1231
Secuencial,1,11,hmac_solicitud,0.0324
Secuencial,1,11,hmac_direccion,0.0409
Secuencial,1,11,hmac,0.0479
Secuencial,1,11,descifrado,0.1412
Secuencial,1,11,generacion_iv,0.0923
Secuencial,1,12,verificacion,0.0796
Secuencial,1,12,cifrado,0.1469
Secuencial,1,12,descifrado_direccion,0.1325
Secuencial,1,12,hmac_solicitud,0.0482
Secuencial,1,12,hmac_direccion,0.0305
Secuencial,1,12,hmac,0.3536
Secuencial,1,12,descifrado,0.0986
Secuencial,1,12,generacion_iv,0.1282
Secuencial,1,13,verificacion,0.0964
Secuencial,1,13,cifrado,0.0839
Secuencial,1,13,descifrado_direccion,0.0936
Secuencial,1,13,hmac_solicitud,0.0346
Secuencial,1,13,hmac_direccion,0.0376
Secuencial,1,13,hmac,0.0326
Secuencial,1,13,descifrado,0.1092
Secuencial,1,13,generacion_iv,0.0917
Secuencial,1,14,verificacion,0.0642
Secuencial,1,14,cifrado,0.0893
Secuencial,1,14,descifrado_direccion,0.0739
Secuencial,1,14,hmac_solicitud,0.0306
Secuencial,1,14,hmac_direccion,0.0377
Secuencial,1,14,hmac,0.0426
Secuencial,1,14,descifrado,0.0942
Secuencial,1,14,generacion_iv,0.0768
Secuencial,1,15,verificacion,0.0798
Secuencial,1,15,cifrado,0.1126
Secuencial,1,15,descifrado_direccion,0.0975
Secuencial,1,15,hmac_solicitud,0.0394
Secuencial,1,15,hmac_direccion,0.0412
Secuencial,1,15,hmac,0.0371
Secuencial,1,15,descifrado,0.1040
Secuencial,1,15,generacion_iv,0.1038
Secuencial,1,16,verificacion,0.0952
Secuencial,1,16,cifrado,0.1239
Secuencial,1,16,descifrado_direccion,0.1479
Secuencial,1,16,hmac_solicitud,0.0851
Secuencial,1,16,hmac_direccion,0.0395
Secuencial,1,16,hmac,0.0448
Secuencial,1,16,descifrado,0.1055
Secuencial,1,16,generacion_iv,0.0891
Secuencial,1,17,verificacion,0.1213
Secuencial,1,17,cifrado,0.1104
Secuencial,1,17,descifrado_direccion,0.1322
Secuencial,1,17,hmac_solicitud,0.0430
Secuencial,1,17,hmac_direccion,0.0433
Secuencial,1,17,hmac,0.0748
Secuencial,1,17,descifrado,0.1860
Secuencial,1,17,generacion_iv,0.1228
Secuencial,1,18,verificacion,0.0755
Secuencial,1,18,cifrado,0.0730
Secuencial,1,18,descifrado_direccion,0.0720
Secuencial,1,18,hmac_solicitud,0.0391
Secuencial,1,18,hmac_direccion,0.0331
Secuencial,1,18,hmac,0.0346
Secuencial,1,18,descifrado,0.0844
Secuencial,1,18,generacion_iv,0.0742
Secuencial,1,19,verificacion,0.1127
Secuencial,1,19,cifrado,0.0814
Secuencial,1,19,descifrado_direccion,0.1122
Secuencial,1,19,hmac_solicitud,0.0427
Secuencial,1,19,hmac_direccion,0.0594
Secuencial,1,19,hmac,0.0391
Secuencial,1,19,descifrado,0.0953
Secuencial,1,19,generacion_iv,0.0938
Secuencial,1,20,verificacion,0.0918
Secuencial,1,20,cifrado,0.0707
Secuencial,1,20,descifrado_direccion,0.0798
Secuencial,1,20,hmac_solicitud,0.0314
Secuencial,1,20,hmac_direccion,0.0341
Secuencial,1,20,hmac,0.0340
Secuencial,1,20,descifrado,0.0877
Secuencial,1,20,generacion_iv,0.0764
Secuencial,1,21,verificacion,0.1028
Secuencial,1,21,cifrado,0.0693
Secuencial,1,21,descifrado_direccion,0.0705
Secuencial,1,21,hmac_solicitud,0.0273
Secuencial,1,21,hmac_direccion,0.0293
Secuencial,1,21,hmac,0.0304
Secuencial,1,21,descifrado,0.0853
Secuencial,1,21,generacion_iv,0.0776
Secuencial,1,22,verificacion,0.1230
Secuencial,1,22,cifrado,0.1577
Secuencial,1,22,descifrado_direccion,0.1093
Secuencial,1,22,hmac_solicitud,0.0527
Secuencial,1,22,hmac_direccion,0.0404
Secuencial,1,22,hmac,0.5528
Secuencial,1,22,descifrado,0.2014
Secuencial,1,22,generacion_iv,0.1249
Secuencial,1,23,verificacion,0.0913
Secuencial,1,23,cifrado,0.1310
Secuencial,1,23,descifrado_direccion,0.1017
Secuencial,1,23,hmac_solicitud,0.0567
Secuencial,1,23,hmac_direccion,0.0515
Secuencial,1,23,hmac,0.0395
Secuencial,1,23,descifrado,0.1137
Secuencial,1,23,generacion_iv,0.0988
Secuencial,1,24,verificacion,0.0905
Secuencial,1,24,cifrado,0.0740
Secuencial,1,24,descifrado_direccion,0.0849
Secuencial,1,24,hmac_solicitud,0.0377
Secuencial,1,24,hmac_direccion,0.0402
Secuencial,1,24,hmac,0.0443
Secuencial,1,24,descifrado,0.1088
Secuencial,1,24,generacion_iv,0.0957
Secuencial,1,25,verificacion,0.0856
Secuencial,1,25,cifrado,0.1080
Secuencial,1,25,descifrado_direccion,0.1140
Secuencial,1,25,hmac_solicitud,0.0436
Secuencial,1,25,hmac_direccion,0.0409
Secuencial,1,25,hmac,0.0337
Secuencial,1,25,descifrado,0.0978
Secuencial,1,25,generacion_iv,0.1418
Secuencial,1,26,verificacion,0.1725
Secuencial,1,26,cifrado,0.1476
Secuencial,1,26,descifrado_direccion,0.0790
Secuencial,1,26,hmac_solicitud,0.0461
Secuencial,1,26,hmac_direccion,0.0324
Secuencial,1,26,hmac,0.0660
Secuencial,1,26,descifrado,0.2180
Secuencial,1,26,generacion_iv,0.1568
Secuencial,1,27,verificacion,0.1049
Secuencial,1,27,cifrado,0.0936
Secuencial,1,27,descifrado_direccion,0.0986
Secuencial,1,27,hmac_solicitud,0.0390
Secuencial,1,27,hmac_direccion,0.0429
Secuencial,1,27,hmac,0.0484
Secuencial,1,27,descifrado,0.1309
Secuencial,1,27,generacion_iv,0.0998
Secuencial,1,28,verificacion,0.0743
Secuencial,1,28,cifrado,0.0623
Secuencial,1,28,descifrado_direccion,0.0609
Secuencial,1,28,hmac_solicitud,0.0278
Secuencial,1,28,hmac_direccion,0.0259
Secuencial,1,28,hmac,0.0281
Secuencial,1,28,descifrado,0.0829
Secuencial,1,28,generacion_iv,0.0821
Secuencial,1,29,verificacion,0.0900
Secuencial,1,29,cifrado,0.1061
Secuencial,1,29,descifrado_direccion,0.0549
Secuencial,1,29,hmac_solicitud,0.0306
Secuencial,1,29,hmac_direccion,0.0254
Secuencial,1,29,hmac,0.0263
Secuencial,1,29,descifrado,0.0754
Secuencial,1,29,generacion_iv,0.0808
Secuencial,1,30,verificacion,0.0690
Secuencial,1,30,cifrado,0.0761
Secuencial,1,30,descifrado_direccion,0.0586
Secuencial,1,30,hmac_solicitud,0.0318
Secuencial,1,30,hmac_direccion,0.0262
Secuencial,1,30,hmac,0.0235
Secuencial,1,30,descifrado,0.0760
Secuencial,1,30,generacion_iv,0.0761
Secuencial,1,31,verificacion,0.0608
Secuencial,1,31,cifrado,0.0460
Secuencial,1,31,descifrado_direccion,0.0482
Secuencial,1,31,hmac_solicitud,0.0201
Secuencial,1,31,hmac_direccion,0.0217
Secuencial,1,31,hmac,0.0245
Secuencial,1,31,descifrado,0.0679
Secuencial,1,31,generacion_iv,0.0699
Secuencial,1,32,verificacion,0.0704
Secuencial,1,32,cifrado,0.0546
Secuencial,1,32,descifrado_direccion,0.1084
Secuencial,1,32,hmac_solicitud,0.0272
Secuencial,1,32,hmac_direccion,0.0236
Secuencial,1,32,hmac,0.0221
Secuencial,1,32,descifrado,0.0709
Secuencial,1,32,generacion_iv,0.0686
